,20,21,22,23,24,27,29,30,33,34,35,37,38,39,40,41,42,43,44,45,sum,duration,event,Category
St Maudlin Milkstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St Maudlin Oldfishstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,6,3,2,2,25,38,1,Group A
St Michael Bassishaw - Plague,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,7,37,1,Group A
St Michael Cornhil - Plague,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,8,23,1,Group A
St Michael Crookedlane - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,39,1,Group A
St Michael Queenhithe - Plague,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,0,3,2,2,0,14,33,1,Group A
St Michael Quern - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1,Group A
St Michael Royal - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St Michael Woodstreet - Plague,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,1,1,0,0,1,12,35,1,Group A
St Mildred Breadstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,6,38,1,Group A
St Mildred Poultrey - Plague,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,5,37,1,Group A
St Nicholas Acons - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,42,1,Group A
St Nicholas Coleabby - Plague,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,7,35,1,Group A
St Nicholas Olaves - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,40,1,Group A
St Olave Hartstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,1,3,12,39,1,Group A
St Olave Jewry - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
St Olave Silverstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,5,40,1,Group A
St Pancras Soperlane - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
